GameId,GameDate,DayOfWeek,StartTime,HomeTeam,AwayTeam,HomeTeamCode,AwayTeamCode,HomeScore,AwayScore,HomeCoach,AwayCoach,Stadium,Attendance,Duration,Roof,Surface,Weather,HomeOff01_Position,HomeOff01_Name,HomeOff01_ID,HomeOff02_Position,HomeOff02_Name,HomeOff02_ID,HomeOff03_Position,HomeOff03_Name,HomeOff03_ID,HomeOff04_Position,HomeOff04_Name,HomeOff04_ID,HomeOff05_Position,HomeOff05_Name,HomeOff05_ID,HomeOff06_Position,HomeOff06_Name,HomeOff06_ID,HomeOff07_Position,HomeOff07_Name,HomeOff07_ID,HomeOff08_Position,HomeOff08_Name,HomeOff08_ID,HomeOff09_Position,HomeOff09_Name,HomeOff09_ID,HomeOff10_Position,HomeOff10_Name,HomeOff10_ID,HomeOff11_Position,HomeOff11_Name,HomeOff11_ID,HomeDef01_Position,HomeDef01_Name,HomeDef01_ID,HomeDef02_Position,HomeDef02_Name,HomeDef02_ID,HomeDef03_Position,HomeDef03_Name,HomeDef03_ID,HomeDef04_Position,HomeDef04_Name,HomeDef04_ID,HomeDef05_Position,HomeDef05_Name,HomeDef05_ID,HomeDef06_Position,HomeDef06_Name,HomeDef06_ID,HomeDef07_Position,HomeDef07_Name,HomeDef07_ID,HomeDef08_Position,HomeDef08_Name,HomeDef08_ID,HomeDef09_Position,HomeDef09_Name,HomeDef09_ID,HomeDef10_Position,HomeDef10_Name,HomeDef10_ID,HomeDef11_Position,HomeDef11_Name,HomeDef11_ID,AwayOff01_Position,AwayOff01_Name,AwayOff01_ID,AwayOff02_Position,AwayOff02_Name,AwayOff02_ID,AwayOff03_Position,AwayOff03_Name,AwayOff03_ID,AwayOff04_Position,AwayOff04_Name,AwayOff04_ID,AwayOff05_Position,AwayOff05_Name,AwayOff05_ID,AwayOff06_Position,AwayOff06_Name,AwayOff06_ID,AwayOff07_Position,AwayOff07_Name,AwayOff07_ID,AwayOff08_Position,AwayOff08_Name,AwayOff08_ID,AwayOff09_Position,AwayOff09_Name,AwayOff09_ID,AwayOff10_Position,AwayOff10_Name,AwayOff10_ID,AwayOff11_Position,AwayOff11_Name,AwayOff11_ID,AwayDef01_Position,AwayDef01_Name,AwayDef01_ID,AwayDef02_Position,AwayDef02_Name,AwayDef02_ID,AwayDef03_Position,AwayDef03_Name,AwayDef03_ID,AwayDef04_Position,AwayDef04_Name,AwayDef04_ID,AwayDef05_Position,AwayDef05_Name,AwayDef05_ID,AwayDef06_Position,AwayDef06_Name,AwayDef06_ID,AwayDef07_Position,AwayDef07_Name,AwayDef07_ID,AwayDef08_Position,AwayDef08_Name,AwayDef08_ID,AwayDef09_Position,AwayDef09_Name,AwayDef09_ID,AwayDef10_Position,AwayDef10_Name,AwayDef10_ID,AwayDef11_Position,AwayDef11_Name,AwayDef11_ID,Official01_Role,Official01_Name,Official02_Role,Official02_Name,Official03_Role,Official03_Name,Official04_Role,Official04_Name,Official05_Role,Official05_Name,Official06_Role,Official06_Name,Official07_Role,Official07_Name
202409050kan,2024-09-05,Thursday,8:20pm,Kansas City Chiefs,Baltimore Ravens,kan,rav,27,20,Andy Reid,John Harbaugh,GEHA Field at Arrowhead Stadium,73611,3:10,outdoors,grass,"67 degrees, relative humidity 53%, wind 8 mph",QB,Patrick Mahomes,MahoPa00,RB,Isiah Pacheco,PachIs00,WR,Xavier Worthy,WortXa00,WR,JuJu Smith-Schuster,SmitJu00,WR,Rashee Rice,RiceRa01,TE,Travis Kelce,KelcTr00,T,Jawaan Taylor,TaylJa02,T,Kingsley Suamataia,SuamKi00,G,Joe Thuney,ThunJo00,G,Trey Smith,SmitTr05,C,Creed Humphrey,HumpCr00,DE,Michael Danna,DannMi00,DE,George Karlaftis III,KarlGe00,DT,Mike Pennel,PennMi00,DT,Chris Jones,JoneCh09,LB,Nick Bolton,BoltNi00,LB,Drue Tranquill,TranDr00,LB,Leo Chenal,ChenLe00,CB,Trent McDuffie,McDuTr00,CB,Jaylen Watson,WatsJa02,S,Justin Reid,ReidJu00,S,Bryan Cook,CookBr02,QB,Lamar Jackson,JackLa00,RB,Derrick Henry,HenrDe00,WR,Rashod Bateman,BateRa00,WR,Zay Flowers,FlowZa00,TE,Mark Andrews,AndrMa00,TE,Isaiah Likely,LikeIs00,OL,Patrick Mekari,MekaPa00,OL,Andrew Vorhees,VorhAn00,T,Ronnie Stanley,StanRo00,T,Daniel Faalele,FaalDa00,C,Tyler Linderbaum,LindTy00,DT,Travis Jones,JoneTr00,DT,Nnamdi Madubuike,MaduJu00,OLB,Kyle Van Noy,VanNKy00,OLB,Odafe Oweh,OwehJa00,LB,Trenton Simpson,SimpTr00,LB,Roquan Smith,SmitRo07,CB,Jalyn Armour-Davis,ArmoJa00,CB,Marlon Humphrey,HumpMa00,DB,Brandon Stephens,StepBr01,S,Kyle Hamilton,HamiKy00,S,Marcus Williams,WillMa06,Referee,Shawn Hochuli,Umpire,Terry Killens,Down Judge,Patrick Holt,Line Judge,Tim Podraza,Back Judge,Jimmy Russell,Side Judge,Jim Quirk,Field Judge,Jason Ledet
202409060phi,2024-09-06,Friday,8:15pm,Philadelphia Eagles,Green Bay Packers,phi,gnb,34,29,Nick Sirianni,Matt LaFleur,Neo Quimica Arena,47236,3:29,outdoors,grass,"63 degrees, relative humidity 87%, wind 4 mph",QB,Jalen Hurts,HurtJa00,RB,Saquon Barkley,BarkSa00,WR,DeVonta Smith,SmitDe07,WR,A.J. Brown,BrowAJ00,TE,Grant Calcaterra,CalcGr00,TE,Dallas Goedert,GoedDa00,OL,Cam Jurgens,JurgCa01,T,Mekhi Becton,BectMe00,T,Jordan Mailata,MailJo00,T,Lane Johnson,JohnLa01,G,Landon Dickerson,DickLa00,DE,Bryce Huff,HuffBr00,DT,Milton Williams,WillMi08,DT,Jordan Davis,DaviJo03,DT,Jalen Carter,CartJa05,OLB,Josh Sweat,SweaJo00,LB,Nakobe Dean,DeanNa00,LB,Zack Baun,BaunZa00,CB,Quinyon Mitchell,MitcQu00,CB,Darius Slay,SlayDa00,S,C.J. Gardner-Johnson,GardCh00,S,Reed Blankenship,BlanRe00,QB,Jordan Love,LoveJo03,RB,Josh Jacobs,JacoJo01,WR,Christian Watson,WatsCh00,WR,Romeo Doubs,DoubRo00,TE,Tucker Kraft,KrafTu00,TE,Luke Musgrave,MusgLu00,OL,Elgton Jenkins,JenkEl00,OL,Josh Myers,MyerJo00,OL,Zach Tom,TomxZa00,T,Rasheed Walker,WalkRa00,OG,Sean Rhyan,RhyaSe00,DL,Rashan Gary,GaryRa00,DL,Kenny Clark,ClarKe01,DL,Tedarrell Slaton,SlatTe00,DL,Preston Smith,SmitPr00,LB,Eric Wilson,WilsEr00,LB,Quay Walker,WalkQu00,LB,Isaiah McDuffie,McDuIs00,CB,Eric Stokes,StokEr00,CB,Jaire Alexander,AlexJa00,S,Xavier McKinney,McKiXa00,S,Javon Bullard,BullJa00,Referee,Ron Torbert,Umpire,Barry Anderson,Down Judge,Frank LeBlanc,Line Judge,Brian Bolinger,Back Judge,Tony Josselyn,Side Judge,Keith Washington,Field Judge,Ryan Dickson
202409080atl,2024-09-08,Sunday,1:00pm,Atlanta Falcons,Pittsburgh Steelers,atl,pit,10,18,Raheem Morris,Mike Tomlin,Mercedes-Benz Stadium,72291,2:56,retractable roof (closed),fieldturf,,QB,Kirk Cousins,CousKi00,RB,Bijan Robinson,RobiBi01,WR,Darnell Mooney,MoonDa00,WR,Drake London,LondDr00,TE,Charlie Woerner,WoerCh00,TE,Kyle Pitts,PittKy00,OL,Matthew Bergeron,BergMa00,OL,Drew Dalman,DalmDr00,T,Jake Matthews,MattJa00,T,Kaleb McGary,McGaKa00,G,Chris Lindstrom,LindCh00,DL,Grady Jarrett,JarrGr00,DL,Eddie Goldman,GoldEd00,DL,David Onyemata,OnyeDa00,OLB,Matt Judon,JudoMa00,OLB,Lorenzo Carter,CartLo01,LB,Nathan Landman,LandNa01,LB,Kaden Elliss,ElliKa00,CB,Mike Hughes,HughMi00,CB,AJ Terrell,TerrAJ00,S,Justin Simmons,SimmJu00,S,Jessie Bates III,BateJe00,QB,Justin Fields,FielJu00,RB,Najee Harris,HarrNa00,WR,George Pickens,PickGe00,WR,Van Jefferson,JeffVa00,TE,Darnell Washington,WashDa03,TE,MyCole Pruitt,PruiMy00,OL,Spencer Anderson,AndeSp00,OL,James Daniels,DaniJa01,OT,Dan Moore,MoorDa05,OT,Broderick Jones,JoneBr09,C,Zach Frazier,FrazZa00,DL,Keeanu Benton,BentKe00,DT,Larry Ogunjobi,OgunLa00,DT,Cameron Heyward,HeywCa01,LB,Alex Highsmith,HighAl02,LB,Patrick Queen,QueePa00,LB,Elandon Roberts,RobeEl00,LB,T.J. Watt,,CB,Donte Jackson,JackDo02,CB,Joey Porter Jr.,PortJo02,S,Minkah Fitzpatrick,FitzMi00,S,DeShon Elliott,ElliDe02,Referee,Brad Rogers,Umpire,Bryan Neale,Down Judge,Kent Payne,Line Judge,Kevin Codey,Back Judge,Greg Yette,Side Judge,Anthony Jeffries,Field Judge,Joe Blubaugh
202409080buf,2024-09-08,Sunday,1:00pm,Buffalo Bills,Arizona Cardinals,buf,crd,34,28,Sean McDermott,Jonathan Gannon,Highmark Stadium,70542,2:59,outdoors,a_turf,"61 degrees, relative humidity 55%, wind 20 mph",QB,Josh Allen,AlleJo02,RB,James Cook,CookJa01,WR,Keon Coleman,ColeKe02,WR,Khalil Shakir,ShakKh00,TE,Dawson Knox,KnoxDa00,TE,Dalton Kincaid,KincDa00,T,Spencer Brown,BrowSp00,T,Dion Dawkins,DawkDi00,G,Connor McGovern,McGoCo01,G,O'Cyrus Torrence,TorrOC00,G,David Edwards,EdwaDa01,DE,A.J. Epenesa,EpenAJ00,DE,Gregory Rousseau,RousGr00,DT,DaQuan Jones,JoneDa04,DT,Ed Oliver,OlivEd00,LB,Terrel Bernard,BernTe00,LB,Dorian Williams,WillDo04,CB,Taron Johnson,JohnTa01,CB,Rasul Douglas,DougRa00,CB,Christian Benford,BenfCh00,S,Taylor Rapp,RappTa00,S,Damar Hamlin,HamlDa00,QB,Kyler Murray,MurrKy00,RB,James Conner,ConnJa00,WR,Michael Wilson,WilsMi02,WR,Greg Dortch,DortGr01,WR,Marvin Harrison Jr.,HarrMa09,TE,Trey McBride,McBrTr01,OL,Evan Brown,BrowEv00,OL,Jonah Williams,WillJo10,OL,Paris Johnson,JohnPa03,OL,Will Hernandez,HernWi00,OL,Hjalte Froholdt,FrohHj00,DL,Justin Jones,JoneJu03,DL,Roy Lopez,LopeRo00,DL,L.J. Collier,CollLJ00,OLB,Zaven Collins,CollZa00,LB,Kyzir White,WhitKy00,LB,Mack Wilson,WilsMa03,CB,Starling Thomas,ThomSt01,CB,Garrett Williams,WillGa00,CB,Sean Murphy-Bunting,BuntSe00,S,Jalen Thompson,ThomJa04,S,Budda Baker,BakeBu00,Referee,Tra Blake,Umpire,Carl Paganelli,Down Judge,Patrick Turner,Line Judge,Tom Eaton,Back Judge,Grantis Bell,Side Judge,Don Willard,Field Judge,Mearl Robinson
202409080chi,2024-09-08,Sunday,1:00pm,Chicago Bears,Tennessee Titans,chi,oti,24,17,Matt Eberflus,Brian Callahan,Soldier Field,59403,3:00,outdoors,grass,"67 degrees, relative humidity 43%, wind 8 mph",QB,Caleb Williams,WillCa03,RB,D'Andre Swift,SwifDA00,WR,Keenan Allen,AlleKe00,WR,D.J. Moore,,TE,Gerald Everett,EverGe00,TE,Marcedes Lewis,LewiMa00,OL,Darnell Wright,WrigDa00,OL,Nate Davis,DaviNa01,OL,Coleman Shelton,ShelCo00,OL,Teven Jenkins,JenkTe00,OL,Braxton Jones,JoneBr08,DL,Andrew Billings,BillAn00,DL,DeMarcus Walker,WalkDe03,DL,Montez Sweat,SweaMo00,DL,Gervon Dexter,DextGe00,LB,T.J. Edwards,EdwaTJ02,LB,Tremaine Edmunds,EdmuTr01,DB,Jaylon Johnson,JohnJa13,DB,Kyler Gordon,GordKy00,DB,Terell Smith,SmitTe05,DB,Kevin Byard,ByarKe01,DB,Jaquan Brisker,BrisJa01,QB,Will Levis,LeviWi00,RB,Tony Pollard,PollTo00,WR,Tyler Boyd,BoydTy00,WR,Calvin Ridley,RidlCa00,WR,DeAndre Hopkins,HopkDe00,TE,Chigoziem Okonkwo,OkonCh00,OL,Peter Skoronski,SkorPe00,OL,Dillon Radunz,RaduDi00,OL,Nicholas Petit-Frere,PetiNi00,OT,JC Latham,LathJC00,C,Lloyd Cushenberry III,CushLl00,DL,Sebastian Joseph-Day,JoseSe00,DT,T'Vondre Sweat,SweaTV01,DT,Jeffery Simmons,SimmJe01,OLB,Harold Landry,LandHa00,OLB,Arden Key,KeyxAr00,LB,Kenneth Murray,MurrKe00,LB,Jack Gibbens,GibbJa00,CB,Chidobe Awuzie,AwuzCh00,CB,L'Jarius Sneed,SneeLJ00,FS,Quandre Diggs,DiggQu00,S,Amani Hooker,HookAm00,Referee,Shawn Smith,Umpire,Alex Moore,Down Judge,Jay Bilbo,Line Judge,Jeff Seeman,Back Judge,Dino Paganelli,Side Judge,Boris Cheek,Field Judge,Dyrol Prioleau
202409080cin,2024-09-08,Sunday,1:00pm,Cincinnati Bengals,New England Patriots,cin,nwe,10,16,Zac Taylor,Jerod Mayo,Paycor Stadium,66214,2:49,outdoors,fieldturf,"66 degrees, relative humidity 40%, wind 5 mph",QB,Joe Burrow,BurrJo01,RB,Zack Moss,MossZa00,WR,Trenton Irwin,IrwiTr00,WR,Ja'Marr Chase,ChasJa00,WR,Andrei Iosivas,IosiAn00,TE,Drew Sample,SampDr00,OT,Orlando Brown Jr.,BrowOr00,OT,Trent Brown,BrowTr02,G,Alex Cappa,CappAl00,G,Cordell Volson,VolsCo02,C,Ted Karras,KarrTe00,DE,Sam Hubbard,HubbSa00,DE,Trey Hendrickson,HendTr00,DT,B.J. Hill,,DT,Sheldon Rankins,RankSh00,LB,Germaine Pratt,PratGe00,LB,Logan Wilson,WilsLo00,CB,Daxton Hill,HillDa04,CB,Mike Hilton,HiltMi01,CB,Cam Taylor-Britt,TaylCa01,S,Vonn Bell,BellVo00,S,Geno Stone,StonGe00,QB,Jacoby Brissett,BrisJa00,RB,Rhamondre Stevenson,StevRh00,WR,Demario Douglas,DougDe00,WR,Tyquan Thornton,ThorTy00,WR,K.J. Osborn,OsboKJ00,TE,Hunter Henry,HenrHu00,OL,Michael Onwenu,OnweMi00,T,Chukwuma Okorafor,OkorCh00,G,Layden Robinson,RobiLa02,G,Michael Jordan,JordMi01,C,David Andrews,AndrDa00,DE,Keion White,WhitKe03,DT,Daniel Ekuale,EkuaDa00,DT,Davon Godchaux,GodcDa00,LB,Ja'Whaun Bentley,BentJa00,LB,Jahlani Tavai,TavaJa00,LB,Anfernee Jennings,JennAn00,CB,Marcus Jones,JoneMa06,CB,Jonathan Jones,JoneJo03,CB,Christian Gonzalez,GonzCh00,S,Jabrill Peppers,PeppJa00,S,Kyle Dugger,DuggKy00,Referee,Land Clark,Umpire,Paul King,Down Judge,Tom Stephan,Line Judge,Jeff Hutcheon,Back Judge,Brad Freeman,Side Judge,Dominique Pender,Field Judge,Jabir Walker
202409080cle,2024-09-08,Sunday,4:25pm,Cleveland Browns,Dallas Cowboys,cle,dal,17,33,Kevin Stefanski,Mike McCarthy,Huntington Bank Field,67431,3:19,outdoors,grass,"68 degrees, relative humidity 41%, wind 15 mph",QB,Deshaun Watson,WatsDe00,RB,Jerome Ford,FordJe00,WR,Elijah Moore,MoorEl00,WR,Jerry Jeudy,JeudJe00,WR,Amari Cooper,CoopAm00,TE,David Njoku,NjokDa00,T,James Hudson,HudsJa00,T,Dawand Jones,JoneDa07,G,Joel Bitonio,BitoJo00,G,Wyatt Teller,TellWy00,C,Ethan Pocic,PociEt00,DE,Za'Darius Smith,SmitZa00,DE,Myles Garrett,GarrMy00,DT,Maurice Hurst Jr.,HursMa00,DT,Dalvin Tomlinson,TomlDa00,LB,Jordan Hicks,HickJo00,LB,Jeremiah Owusu-Koramoah,OwusJe00,CB,Greg Newsome II,NewsGr00,CB,Martin Emerson,EmerMa00,CB,Denzel Ward,WardDe02,S,Grant Delpit,DelpGr00,S,Juan Thornhill,ThorJu00,QB,Dak Prescott,PresDa01,RB,Ezekiel Elliott,ElliEz00,WR,Brandin Cooks,CookBr00,WR,Jalen Tolbert,TolbJa00,WR,CeeDee Lamb,LambCe00,TE,Jake Ferguson,FergJa00,OL,Tyler Smith,SmitTy02,OT,Tyler Guyton,GuytTy00,T,Terence Steele,SteeTe01,OG,Cooper Beebe,BeebCo00,G,Zack Martin,MartZa00,DE,DeMarcus Lawrence,LawrDe00,DT,Osa Odighizuwa,OdigOs00,DT,Mazi Smith,SmitMa06,MLB,Eric Kendricks,KendEr00,LB,DeMarvion Overshown,OverDe00,LB,Micah Parsons,ParsMi00,CB,Caelen Carson,CarsCa01,CB,Jourdan Lewis,LewiJo01,CB,Trevon Diggs,DiggTr00,S,Malik Hooker,HookMa00,S,Donovan Wilson,WilsDo01,Referee,Clete Blakeman,Umpire,Scott Campbell,Down Judge,Dana McKenzie,Line Judge,Julian Mapp,Back Judge,Jonah Monroe,Side Judge,James Coleman,Field Judge,Karina Tovar
202409080clt,2024-09-08,Sunday,1:00pm,Indianapolis Colts,Houston Texans,clt,htx,27,29,Shane Steichen,DeMeco Ryans,Lucas Oil Stadium,65306,3:02,retractable roof (open),fieldturf,,QB,Anthony Richardson,RichAn03,RB,Jonathan Taylor,TaylJo02,WR,Adonai Mitchell,MitcAd00,WR,Alec Pierce,PierAl00,WR,Michael Pittman Jr.,PittMi01,TE,Mo Alie-Cox,AlieMo00,OL,Will Fries,FrieWi00,T,Braden Smith,SmitBr06,T,Bernhard Raimann,RaimBe00,G,Quenton Nelson,NelsQu00,C,Ryan Kelly,KellRy00,DE,Tyquan Lewis,LewiTy00,DE,Kwity Paye,PayeKw00,DT,Grover Stewart,StewGr00,DT,DeForest Buckner,BuckDe00,LB,E.J. Speed,SpeeEJ00,LB,Zaire Franklin,FranZa00,CB,Kenny Moore,MoorKe03,CB,Jaylon Jones,JoneJa13,CB,Julius Brents,BrenJu00,S,Nick Cross,CrosNi00,S,Julian Blackmon,BlacJu01,QB,C.J. Stroud,StroCJ00,RB,Joe Mixon,MixoJo00,WR,Nico Collins,CollNi00,WR,Tank Dell,DellNa00,WR,Stefon Diggs,DiggSt00,TE,Dalton Schultz,SchuDa00,OL,Juice Scruggs,ScruJu00,T,Laremy Tunsil,TunsLa00,T,Tytus Howard,HowaTy00,G,Kenyon Green,GreeKe03,G,Shaq Mason,MasoSh01,DE,Will Anderson,AndeWi01,DE,Danielle Hunter,HuntDa01,DT,Folorunso Fatukasi,FatuFo00,DT,Mario Edwards,EdwaMa01,LB,Henry To'oTo'o,TooTHe00,LB,Azeez Al-Shaair,AlShAz00,CB,Kamari Lassiter,LassKa00,CB,Derek Stingley Jr.,StinDe00,S,Eric Murray,MurrEr00,S,Jalen Pitre,PitrJa00,S,Jimmie Ward,WardJi01,Referee,John Hussey,Umpire,Tony Michalek,Down Judge,Max Causey,Line Judge,Carl Johnson,Back Judge,Matt Edwards,Side Judge,Allen Baynes,Field Judge,Anthony Flemming
202409080det,2024-09-08,Sunday,8:20pm,Detroit Lions,Los Angeles Rams,det,ram,26,20,Dan Campbell,Sean McVay,Ford Field,66530,3:14,dome,fieldturf,,QB,Jared Goff,GoffJa00,RB,David Montgomery,MontDa01,WR,Jameson Williams,WillJa11,WR,Amon-Ra St. Brown,StxxAm00,TE,Brock Wright,WrigBr01,TE,Sam LaPorta,LaPoSa01,OL,Graham Glasgow,GlasGr00,T,Penei Sewell,SewePe00,T,Taylor Decker,DeckTa00,G,Kevin Zeitler,ZeitKe00,C,Frank Ragnow,RagnFr00,DL,Aidan Hutchinson,HutcAi00,DL,Alim McNeill,McNeAl00,DL,Levi Onwuzurike,OnwuLe00,DL,Kyle Peko,PekoKy00,LB,Jack Campbell,CampJa04,LB,Derrick Barnes,BarnDe02,LB,Alex Anzalone,AnzaAl00,CB,Carlton Davis,DaviCa02,CB,Terrion Arnold,ArnoTe00,DB,Brian Branch,BranBr00,S,Kerby Joseph,JoseKe03,QB,Matthew Stafford,StafMa00,RB,Kyren Williams,WillKy02,WR,Cooper Kupp,KuppCo00,WR,Puka Nacua,NacuPu00,WR,Demarcus Robinson,RobiDe01,TE,Colby Parkinson,ParkCo02,OL,Steve Avila,AvilSt00,OL,Kevin Dotson,DotsKe00,OL,Warren McClendon,McClWa00,OL,Joseph Noteboom,NoteJo00,G,Jonah Jackson,JackJo03,DE,Kobie Turner,TurnKo00,DE,Braden Fiske,FiskBr00,NT,Bobby Brown,BrowBo04,OLB,Jared Verse,VersJa00,OLB,Byron Young,YounBy01,LB,Troy Reeder,ReedTr01,LB,Christian Rozeboom,RozeCh00,DB,Quentin Lake,LakeQu00,DB,Cobie Durant,DuraDe01,DB,Tre'Davious White,WhitTr01,DB,Kamren Curl,CurlKa00,Referee,Adrian Hill,Umpire,Roy Ellison,Down Judge,David Oliver,Line Judge,Greg Bradley,Back Judge,Greg Steed,Side Judge,Clay Reynard,Field Judge,Tra Boger
202409080mia,2024-09-08,Sunday,1:00pm,Miami Dolphins,Jacksonville Jaguars,mia,jax,20,17,Mike McDaniel,Doug Pederson,Hard Rock Stadium,65582,3:03,outdoors,grass,"91 degrees, relative humidity 57%, wind 10 mph",QB,Tua Tagovailoa,TagoTu00,RB,Raheem Mostert,MostRa00,WR,Jaylen Waddle,WaddJa00,WR,Tyreek Hill,HillTy00,TE,Durham Smythe,SmytDu00,TE,Julian Hill,HillJu02,OL,Aaron Brewer,BrewAa01,OL,Robert Jones,JoneRo02,OL,Austin Jackson,JackAu00,OL,Liam Eichenberg,EichLi00,T,Terron Armstead,ArmsTe00,DT,Zach Sieler,SielZa00,DT,Calais Campbell,CampCa99,LB,David Long,LongDa04,LB,Emmanuel Ogbah,OgbaEm00,LB,Jaelan Phillips,PhilJa02,LB,Jordyn Brooks,BrooJo01,CB,Kendall Fuller,FullKe00,CB,Kader Kohou,KohoKa00,CB,Jalen Ramsey,RamsJa00,S,Jevon Holland,HollJe02,S,Jordan Poyer,PoyeJo00,QB,Trevor Lawrence,LawrTr00,RB,Travis Etienne,EtieTr00,WR,Gabriel Davis,DaviGa01,WR,Christian Kirk,KirkCh01,TE,Evan Engram,EngrEv00,TE,Luke Farrell,FarrLu00,OL,Ezra Cleveland,ClevEz00,OL,Brandon Scherff,ScheBr00,OL,Cam Robinson,RobiCa00,T,Anton Harrison,HarrAn00,C,Mitch Morse,MorsMi00,DL,Roy Robertson-Harris,RobeRo00,DE,Josh Hines-Allen,AlleJo03,DE,Travon Walker,WalkTr03,DT,DaVon Hamilton,HamiDa02,LB,Devin Lloyd,LloyDe00,LB,Foyesade Oluokun,OluoFo00,CB,Tyson Campbell,CampTy01,CB,Ronald Darby,DarbRo00,S,Antonio Johnson,JohnAn07,S,Darnell Savage Jr.,SavaDa00,S,Andre Cisco,CiscAn00,Referee,Craig Wrolstad,Umpire,Steve Woods,Down Judge,Danny Short,Line Judge,Brett Bergman,Back Judge,Rich Martinez,Side Judge,Frank Steratore,Field Judge,Jeff Shears
