GameId,GameDate,DayOfWeek,StartTime,HomeTeam,AwayTeam,HomeTeamCode,AwayTeamCode,HomeScore,AwayScore,HomeCoach,AwayCoach,Stadium,Attendance,Duration,Roof,Surface,Weather,HomeOff01_Position,HomeOff01_Name,HomeOff01_ID,HomeOff02_Position,HomeOff02_Name,HomeOff02_ID,HomeOff03_Position,HomeOff03_Name,HomeOff03_ID,HomeOff04_Position,HomeOff04_Name,HomeOff04_ID,HomeOff05_Position,HomeOff05_Name,HomeOff05_ID,HomeOff06_Position,HomeOff06_Name,HomeOff06_ID,HomeOff07_Position,HomeOff07_Name,HomeOff07_ID,HomeOff08_Position,HomeOff08_Name,HomeOff08_ID,HomeOff09_Position,HomeOff09_Name,HomeOff09_ID,HomeOff10_Position,HomeOff10_Name,HomeOff10_ID,HomeOff11_Position,HomeOff11_Name,HomeOff11_ID,HomeDef01_Position,HomeDef01_Name,HomeDef01_ID,HomeDef02_Position,HomeDef02_Name,HomeDef02_ID,HomeDef03_Position,HomeDef03_Name,HomeDef03_ID,HomeDef04_Position,HomeDef04_Name,HomeDef04_ID,HomeDef05_Position,HomeDef05_Name,HomeDef05_ID,HomeDef06_Position,HomeDef06_Name,HomeDef06_ID,HomeDef07_Position,HomeDef07_Name,HomeDef07_ID,HomeDef08_Position,HomeDef08_Name,HomeDef08_ID,HomeDef09_Position,HomeDef09_Name,HomeDef09_ID,HomeDef10_Position,HomeDef10_Name,HomeDef10_ID,HomeDef11_Position,HomeDef11_Name,HomeDef11_ID,AwayOff01_Position,AwayOff01_Name,AwayOff01_ID,AwayOff02_Position,AwayOff02_Name,AwayOff02_ID,AwayOff03_Position,AwayOff03_Name,AwayOff03_ID,AwayOff04_Position,AwayOff04_Name,AwayOff04_ID,AwayOff05_Position,AwayOff05_Name,AwayOff05_ID,AwayOff06_Position,AwayOff06_Name,AwayOff06_ID,AwayOff07_Position,AwayOff07_Name,AwayOff07_ID,AwayOff08_Position,AwayOff08_Name,AwayOff08_ID,AwayOff09_Position,AwayOff09_Name,AwayOff09_ID,AwayOff10_Position,AwayOff10_Name,AwayOff10_ID,AwayOff11_Position,AwayOff11_Name,AwayOff11_ID,AwayDef01_Position,AwayDef01_Name,AwayDef01_ID,AwayDef02_Position,AwayDef02_Name,AwayDef02_ID,AwayDef03_Position,AwayDef03_Name,AwayDef03_ID,AwayDef04_Position,AwayDef04_Name,AwayDef04_ID,AwayDef05_Position,AwayDef05_Name,AwayDef05_ID,AwayDef06_Position,AwayDef06_Name,AwayDef06_ID,AwayDef07_Position,AwayDef07_Name,AwayDef07_ID,AwayDef08_Position,AwayDef08_Name,AwayDef08_ID,AwayDef09_Position,AwayDef09_Name,AwayDef09_ID,AwayDef10_Position,AwayDef10_Name,AwayDef10_ID,AwayDef11_Position,AwayDef11_Name,AwayDef11_ID,Official01_Role,Official01_Name,Official02_Role,Official02_Name,Official03_Role,Official03_Name,Official04_Role,Official04_Name,Official05_Role,Official05_Name,Official06_Role,Official06_Name,Official07_Role,Official07_Name
202209080ram,2022-09-08,Thursday,8:20pm,Los Angeles Rams,Buffalo Bills,ram,buf,10,31,Sean McVay,Sean McDermott,SoFi Stadium,73846,2:46,dome,matrixturf,,QB,Matthew Stafford,StafMa00,RB,Darrell Henderson,HendDa00,WR,Ben Skowronek,SkowBe00,WR,Allen Robinson,RobiAl02,WR,Cooper Kupp,KuppCo00,TE,Tyler Higbee,HigbTy00,OL,Brian Allen,AlleBr02,OL,David Edwards,EdwaDa01,OL,Coleman Shelton,ShelCo00,OL,Rob Havenstein,HaveRo00,OL,Joseph Noteboom,NoteJo00,DT,Aaron Donald,DonaAa00,DT,A'Shawn Robinson,RobiAS00,DT,Greg Gaines,GainGr00,OLB,Leonard Floyd,FloyLe00,LB,Ernest Jones,JoneEr01,LB,Bobby Wagner,WagnBo00,CB,Troy Hill,HillTr01,DB,Jalen Ramsey,RamsJa00,DB,Taylor Rapp,RappTa00,DB,Jordan Fuller,FullJo01,S,Nick Scott,ScotNi01,QB,Josh Allen,AlleJo02,RB,Devin Singletary,SingDe00,WR,Isaiah McKenzie,McKeIs00,WR,Gabe Davis,DaviGa01,WR,Stefon Diggs,DiggSt00,TE,Dawson Knox,KnoxDa00,OL,Ryan Bates,BateRy02,T,Dion Dawkins,DawkDi00,T,Spencer Brown,BrowSp00,G,Rodger Saffold,SaffRo20,C,Mitch Morse,MorsMi00,DE,Gregory Rousseau,RousGr00,DT,DaQuan Jones,JoneDa04,DT,Ed Oliver,OlivEd00,LB,Tremaine Edmunds,EdmuTr01,LB,Matt Milano,MilaMa00,LB,Von Miller,MillVo00,CB,Dane Jackson,JackDa02,CB,Taron Johnson,JohnTa01,CB,Christian Benford,BenfCh00,S,Micah Hyde,HydeMi00,S,Jordan Poyer,PoyeJo00,Referee,Carl Cheffers,Umpire,Brandon Cruse,Down Judge,Mike Carr,Line Judge,Jeff Seeman,Back Judge,Matt Edwards,Side Judge,Eugene Hall,Field Judge,Nathan Jones
202209110atl,2022-09-11,Sunday,1:00pm,Atlanta Falcons,New Orleans Saints,atl,nor,26,27,Arthur Smith,Dennis Allen,Mercedes-Benz Stadium,70078,3:07,retractable roof (closed),fieldturf,,QB,Marcus Mariota,MariMa01,RB,Damien Williams,WillDa05,WR,Olamide Zaccheaus,ZaccOl01,WR,KhaDarel Hodge,HodgKh00,WR,Bryan Edwards,EdwaBr01,TE,Kyle Pitts,PittKy00,OL,Drew Dalman,DalmDr00,T,Elijah Wilkinson,WilkEl00,T,Jake Matthews,MattJa00,T,Kaleb McGary,McGaKa00,G,Chris Lindstrom,LindCh00,DL,Ta'Quon Graham,GrahTa00,DT,Grady Jarrett,JarrGr00,DT,Anthony Rush,RushAn00,OLB,Adetokunbo Ogundeji,OgunAd01,LB,Lorenzo Carter,CartLo01,LB,Mykal Walker,WalkMy00,LB,Rashaan Evans,EvanRa01,CB,AJ Terrell,TerrAJ00,CB,Casey Hayward,HaywCa00,SS,Jaylinn Hawkins,HawkJa00,S,Richie Grant,GranRi00,QB,Jameis Winston,WinsJa00,RB,Alvin Kamara,KamaAl00,WR,Michael Thomas,ThomMi05,WR,Jarvis Landry,LandJa00,TE,Adam Trautman,TrauAd00,TE,Taysom Hill,HillTa00,OL,Erik McCoy,McCoEr01,OL,Cesar Ruiz,RuizCe00,OL,Andrus Peat,PeatAn00,OL,James Hurst,HursJa00,T,Ryan Ramczyk,RamcRy00,DE,Marcus Davenport,DaveMa00,DE,Cameron Jordan,JordCa00,DT,David Onyemata,OnyeDa00,DT,Shy Tuttle,TuttSh00,LB,Pete Werner,WernPe00,LB,Demario Davis,DaviDe00,CB,Marshon Lattimore,LattMa01,CB,Bradley Roby,RobyBr00,FS,Tyrann Mathieu,MathTy00,S,Marcus Maye,MayeMa00,S,Justin Evans,EvanJu00,Referee,Alex Kemp,Umpire,Mike Morton,Down Judge,Danny Short,Line Judge,Jeff Bergman,Back Judge,Scott Helverson,Side Judge,Dale Shaw,Field Judge,John Jenkins
202209110car,2022-09-11,Sunday,1:00pm,Carolina Panthers,Cleveland Browns,car,cle,24,26,Matt Rhule,Kevin Stefanski,Bank of America Stadium,72205,3:16,outdoors,grass,"80 degrees, relative humidity 81%, wind 8 mph",QB,Baker Mayfield,MayfBa00,RB,Christian McCaffrey,McCaCh01,WR,Shi Smith,SmitSh03,WR,D.J. Moore,,WR,Robbie Chosen,AndeRo04,TE,Ian Thomas,ThomIa00,OL,Austin Corbett,CorbAu00,T,Brady Christensen,ChriBr00,T,Ikem Ekwonu,EkwoIk00,T,Taylor Moton,MotoTa00,G,Pat Elflein,ElflPa00,DE,Brian Burns,BurnBr00,DE,Yetur Gross-Matos,GrosYe00,DT,Derrick Brown,BrowDe05,DT,Matthew Ioannidis,IoanMa01,LB,Frankie Luvu,LuvuFr00,LB,Shaq Thompson,ThomSh01,LB,Damien Wilson,WilsDa02,CB,Donte Jackson,JackDo02,CB,Jaycee Horn,HornJa00,S,Jeremy Chinn,ChinJe00,S,Xavier Woods,WoodXa00,QB,Jacoby Brissett,BrisJa00,RB,Nick Chubb,ChubNi00,WR,Donovan Peoples-Jones,PeopDo00,WR,Amari Cooper,CoopAm00,WR,David Bell,BellDa02,TE,David Njoku,NjokDa00,T,James Hudson,HudsJa00,T,Jedrick Wills Jr.,WillJe04,G,Wyatt Teller,TellWy00,G,Joel Bitonio,BitoJo00,C,Ethan Pocic,PociEt00,DE,Myles Garrett,GarrMy00,DE,Jadeveon Clowney,ClowJa00,DT,Jordan Elliott,ElliJo02,DT,Taven Bryan,BryaTa00,LB,Jeremiah Owusu-Koramoah,OwusJe00,LB,Anthony Walker,WalkAn01,CB,Greg Newsome II,NewsGr00,CB,Denzel Ward,WardDe02,S,Ronnie Harrison,HarrRo02,S,Grant Delpit,DelpGr00,S,John Johnson,JohnJo10,Referee,Brad Rogers,Umpire,Carl Paganelli,Down Judge,Kent Payne,Line Judge,Tom Eaton,Back Judge,Greg Steed,Side Judge,Anthony Jeffries,Field Judge,Aaron Santi
202209110chi,2022-09-11,Sunday,1:00pm,Chicago Bears,San Francisco 49ers,chi,sfo,19,10,Matt Eberflus,Kyle Shanahan,Soldier Field,62159,3:01,outdoors,grass,"69 degrees, relative humidity 87%, wind 16 mph",QB,Justin Fields,FielJu00,RB,David Montgomery,MontDa01,WR,Equanimeous St. Brown,,WR,Dante Pettis,PettDa00,WR,Darnell Mooney,MoonDa00,TE,Cole Kmet,KmetCo00,OL,Cody Whitehair,WhitCo03,OL,Sam Mustipher,MustSa01,OL,Braxton Jones,JoneBr08,OL,Teven Jenkins,JenkTe00,OL,Larry Borom,BoroLa00,DT,Justin Jones,JoneJu03,DT,Al-Quadin Muhammad,MuhaAl00,DT,Robert Quinn,QuinRo00,DT,Angelo Blackson,BlacAn00,LB,Nicholas Morrow,MorrNi00,LB,Roquan Smith,SmitRo07,DB,Jaylon Johnson,JohnJa13,DB,Eddie Jackson,JackEd01,DB,Kyler Gordon,GordKy00,DB,Jaquan Brisker,BrisJa01,DB,Kindle Vildor,VildKi00,QB,Trey Lance,LancTr00,RB,Elijah Mitchell,MitcEl00,WR,Brandon Aiyuk,AiyuBr00,WR,Deebo Samuel,SamuDe00,WR,Jauan Jennings,JennJa00,TE,Tyler Kroft,KrofTy00,OL,Aaron Banks,BankAa00,OL,Jake Brendel,BrenJa01,OL,Spencer Burford,BurfSp00,T,Trent Williams,WillTr21,T,Mike McGlinchey,McGlMi00,DE,Nick Bosa,BosaNi00,DE,Samson Ebukam,EbukSa00,DT,Arik Armstead,ArmsAr01,DT,Javon Kinlaw,KinlJa00,LB,Dre Greenlaw,GreeDr00,LB,Fred Warner,WarnFr00,CB,Emmanuel Moseley,MoseEm00,CB,Charvarius Ward,WardCh01,CB,Samuel Womack,WomaSa00,S,Talanoa Hufanga,HufaTa00,S,Tashaun Gipson,GipsTa00,Referee,Clay Martin,Umpire,Fred Bryan,Down Judge,Jerod Phillips,Line Judge,Maia Chaka,Back Judge,Greg Wilson,Side Judge,Dave Hawkshaw,Field Judge,James Coleman
202209110cin,2022-09-11,Sunday,1:00pm,Cincinnati Bengals,Pittsburgh Steelers,cin,pit,20,23,Zac Taylor,Mike Tomlin,Paycor Stadium,65841,3:42,outdoors,fieldturf,"76 degrees, relative humidity 83%, wind 5 mph",QB,Joe Burrow,BurrJo01,RB,Joe Mixon,MixoJo00,WR,Ja'Marr Chase,ChasJa00,WR,Tee Higgins,HiggTe00,TE,Drew Sample,SampDr00,TE,Hayden Hurst,HursHa00,OL,Cordell Volson,VolsCo02,T,Jonah Williams,WillJo10,T,La'el Collins,CollLa01,G,Alex Cappa,CappAl00,C,Ted Karras,KarrTe00,DE,Trey Hendrickson,HendTr00,DE,Sam Hubbard,HubbSa00,DT,D.J. Reader,,DT,B.J. Hill,,LB,Logan Wilson,WilsLo00,LB,Germaine Pratt,PratGe00,CB,Mike Hilton,HiltMi01,CB,Eli Apple,ApplEl00,CB,Chidobe Awuzie,AwuzCh00,S,Vonn Bell,BellVo00,S,Jessie Bates III,BateJe00,QB,Mitchell Trubisky,TrubMi00,RB,Najee Harris,HarrNa00,WR,Chase Claypool,ClayCh01,WR,George Pickens,PickGe00,WR,Diontae Johnson,JohnDi01,TE,Pat Freiermuth,FreiPa00,OL,Mason Cole,ColeMa02,OL,James Daniels,DaniJa01,OL,Kevin Dotson,DotsKe00,OL,Chukwuma Okorafor,OkorCh00,T,Dan Moore,MoorDa05,DT,Cameron Heyward,HeywCa01,DT,Larry Ogunjobi,OgunLa00,LB,Myles Jack,JackMy00,LB,T.J. Watt,,LB,Devin Bush Jr.,BushDe01,LB,Alex Highsmith,HighAl02,CB,Cameron Sutton,SuttCa00,CB,Ahkello Witherspoon,WithAh00,DB,Tre Norwood,NorwTr00,S,Minkah Fitzpatrick,FitzMi00,S,Terrell Edmunds,EdmuTe00,Referee,Shawn Hochuli,Umpire,Terry Killens,Down Judge,Patrick Holt,Line Judge,Greg Bradley,Back Judge,Rich Martinez,Side Judge,Chad Hill,Field Judge,Anthony Flemming
202209110crd,2022-09-11,Sunday,4:25pm,Arizona Cardinals,Kansas City Chiefs,crd,kan,21,44,Kliff Kingsbury,Andy Reid,State Farm Stadium,63697,3:00,retractable roof (closed),grass,,QB,Kyler Murray,MurrKy00,RB,James Conner,ConnJa00,WR,Marquise Brown,BrowMa04,WR,Greg Dortch,DortGr01,WR,A.J. Green,,TE,Zach Ertz,ErtzZa00,OL,Kelvin Beachum,BeacKe00,OL,Sean Harlow,HarlSe00,OL,Will Hernandez,HernWi00,OL,Rodney Hudson,HudsRo00,OL,D.J. Humphries,,DE,Zach Allen,AlleZa01,DE,Michael Dogbe,DogbMi00,DT,Rashard Lawrence,LawrRa01,OLB,Markus Golden,GoldMa00,LB,Nick Vigil,VigiNi00,LB,Zaven Collins,CollZa00,LB,Isaiah Simmons,SimmIs00,CB,Marco Wilson,WilsMa04,CB,Byron Murphy,MurpBy00,S,Jalen Thompson,ThomJa04,S,Budda Baker,BakeBu00,QB,Patrick Mahomes,MahoPa00,RB,Clyde Edwards-Helaire,EdwaCl00,WR,Marquez Valdes-Scantling,ValdMa00,WR,JuJu Smith-Schuster,SmitJu00,WR,Mecole Hardman,HardMe00,TE,Travis Kelce,KelcTr00,OL,Joe Thuney,ThunJo00,OL,Trey Smith,SmitTr05,T,Orlando Brown Jr.,BrowOr00,G,Andrew Wylie,WyliAn00,C,Creed Humphrey,HumpCr00,DE,George Karlaftis III,KarlGe00,DE,Frank Clark,ClarFr01,DT,Chris Jones,JoneCh09,DT,Derrick Nnadi,NnadDe00,LB,Willie Gay Jr.,GayJWi00,LB,Nick Bolton,BoltNi00,CB,Trent McDuffie,McDuTr00,CB,Rashad Fenton,FentRa00,CB,L'Jarius Sneed,SneeLJ00,S,Justin Reid,ReidJu00,S,Juan Thornhill,ThorJu00,Referee,Scott Novak,Umpire,Ramon George,Down Judge,Derick Bowers,Line Judge,Walt Coleman IV,Back Judge,Terrence Miles,Side Judge,David Meslow,Field Judge,Tra Boger
202209110dal,2022-09-11,Sunday,8:20pm,Dallas Cowboys,Tampa Bay Buccaneers,dal,tam,3,19,Mike McCarthy,Todd Bowles,AT&amp;T Stadium,93797,2:57,retractable roof (closed),matrixturf,,QB,Dak Prescott,PresDa01,RB,Ezekiel Elliott,ElliEz00,RB,Tony Pollard,PollTo00,WR,Noah Brown,BrowNo00,WR,CeeDee Lamb,LambCe00,TE,Dalton Schultz,SchuDa00,OL,Tyler Smith,SmitTy02,T,Terence Steele,SteeTe01,G,Connor McGovern,McGoCo01,G,Zack Martin,MartZa00,C,Tyler Biadasz,BiadTy00,DE,DeMarcus Lawrence,LawrDe00,DE,Dorance Armstrong Jr.,ArmsDo00,DT,Osa Odighizuwa,OdigOs00,DT,Quinton Bohanna,BohaQu00,LB,Micah Parsons,ParsMi00,LB,Leighton Vander Esch,VandLe00,CB,Jourdan Lewis,LewiJo01,CB,Trevon Diggs,DiggTr00,CB,Anthony Brown,BrowAn02,S,Jayron Kearse,KearJa00,S,Donovan Wilson,WilsDo01,QB,Tom Brady,BradTo00,RB,Leonard Fournette,FourLe00,WR,Chris Godwin,GodwCh00,WR,Mike Evans,EvanMi00,TE,Cameron Brate,BratCa00,TE,Cade Otton,OttoCa00,OL,Robert Hainsey,HainRo00,T,Donovan Smith,SmitDo02,T,Tristan Wirfs,WirfTr00,G,Luke Goedeke,GoedLu00,G,Shaq Mason,MasoSh01,DL,Akiem Hicks,HickAk00,DL,Vita Vea,VeaxVi00,OLB,Shaquil Barrett,BarrSh00,OLB,Joe Tryon-Shoyinka,TryoJo00,LB,Lavonte David,DaviLa00,LB,Devin White,WhitDe02,CB,Jamel Dean,DeanJa00,CB,Carlton Davis,DaviCa02,S,Mike Edwards,EdwaMi01,S,Logan Ryan,RyanLo00,S,Antoine Winfield Jr.,WinfAn00,Referee,Ron Torbert,Umpire,Mark Pellis,Line Judge,Tim Podraza,Back Judge,Tony Josselyn,Side Judge,Keith Washington,Field Judge,Ryan Dickson,,
202209110det,2022-09-11,Sunday,1:00pm,Detroit Lions,Philadelphia Eagles,det,phi,35,38,Dan Campbell,Nick Sirianni,Ford Field,64537,3:15,dome,fieldturf,,QB,Jared Goff,GoffJa00,RB,D'Andre Swift,SwifDA00,WR,DJ Chark,CharDJ00,WR,Amon-Ra St. Brown,StxxAm00,WR,Josh Reynolds,ReynJo00,TE,T.J. Hockenson,HockTJ00,T,Taylor Decker,DeckTa00,T,Penei Sewell,SewePe00,G,Jonah Jackson,JackJo03,G,Logan Stenberg,StenLo00,C,Frank Ragnow,RagnFr00,DE,Michael Brockers,BrocMi00,DE,Aidan Hutchinson,HutcAi00,NT,Alim McNeill,McNeAl00,OLB,Charles Harris,HarrCh03,LB,Derrick Barnes,BarnDe02,LB,Malcolm Rodriguez,RodrMa00,LB,Alex Anzalone,AnzaAl00,CB,Amani Oruwariye,OruwAm00,CB,Jeff Okudah,OkudJe00,S,DeShon Elliott,ElliDe02,S,Tracy Walker,WalkTr01,QB,Jalen Hurts,HurtJa00,RB,Miles Sanders,SandMi01,WR,A.J. Brown,BrowAJ00,WR,DeVonta Smith,SmitDe07,TE,Jack Stoll,StolJa00,TE,Dallas Goedert,GoedDa00,T,Jordan Mailata,MailJo00,T,Lane Johnson,JohnLa01,G,Landon Dickerson,DickLa00,G,Isaac Seumalo,SeumIs00,C,Jason Kelce,KelcJa00,DE,Josh Sweat,SweaJo00,DT,Javon Hargrave,HargJa00,DT,Fletcher Cox,CoxxFl00,LB,Haason Reddick,ReddHa00,LB,T.J. Edwards,EdwaTJ02,LB,Kyzir White,WhitKy00,CB,James Bradberry,BradJa00,CB,Avonte Maddox,MaddAv00,CB,Darius Slay,SlayDa00,S,C.J. Gardner-Johnson,GardCh00,S,Marcus Epps,EppsMa00,Referee,Brad Allen,Umpire,Duane Heydt,Down Judge,Sarah Thomas,Line Judge,Daniel Gallagher,Back Judge,Greg Yette,Side Judge,Boris Cheek,Field Judge,Rick Patterson
202209110htx,2022-09-11,Sunday,1:00pm,Houston Texans,Indianapolis Colts,htx,clt,20,20,Lovie Smith,Frank Reich,NRG Stadium,69415,3:33,retractable roof (closed),astroturf,,QB,Davis Mills,MillDa02,RB,Dameon Pierce,PierDa01,WR,Nico Collins,CollNi00,WR,Brandin Cooks,CookBr00,TE,Pharaoh Brown,BrowPh01,OL,Laremy Tunsil,TunsLa00,OL,Justin Britt,BritJu00,OL,Justin McCray,McCrJu00,OL,Tytus Howard,HowaTy00,OL,Charlie Heck,HeckCh00,OL,A.J. Cann,,DL,Jerry Hughes,HughJe99,DL,Roy Lopez,LopeRo00,DL,Jonathan Greenard,GreeJo04,DL,Maliek Collins,CollMa00,LB,Christian Kirksey,KirkCh00,LB,Kamu Grugier-Hill,GrugKa00,DB,Desmond King,KingDe01,DB,Steven Nelson,NelsSt01,DB,Jonathan Owens,OwenJo01,DB,Jalen Pitre,PitrJa00,DB,Derek Stingley Jr.,StinDe00,QB,Matt Ryan,RyanMa00,RB,Jonathan Taylor,TaylJo02,WR,Parris Campbell,CampPa00,WR,Alec Pierce,PierAl00,WR,Michael Pittman Jr.,PittMi01,TE,Mo Alie-Cox,AlieMo00,OL,Quenton Nelson,NelsQu00,T,Braden Smith,SmitBr06,T,Matt Pryor,PryoMa00,G,Danny Pinter,PintDa00,C,Ryan Kelly,KellRy00,DE,Yannick Ngakoue,NgakYa00,DE,Kwity Paye,PayeKw00,DT,DeForest Buckner,BuckDe00,DT,Grover Stewart,StewGr00,LB,E.J. Speed,SpeeEJ00,LB,Bobby Okereke,OkerBo00,LB,Zaire Franklin,FranZa00,CB,Kenny Moore,MoorKe03,CB,Stephon Gilmore,GilmSt00,S,Nick Cross,CrosNi00,S,Julian Blackmon,BlacJu01,Referee,Land Clark,Umpire,Paul King,Down Judge,Tom Stephan,Line Judge,Brian Bolinger,Back Judge,Greg Meyer,Side Judge,Dominique Pender,Field Judge,Michael Banks
202209110mia,2022-09-11,Sunday,1:00pm,Miami Dolphins,New England Patriots,mia,nwe,20,7,Mike McDaniel,Bill Belichick,Hard Rock Stadium,65786,2:50,outdoors,grass,"92 degrees, relative humidity 58%, wind 12 mph",QB,Tua Tagovailoa,TagoTu00,RB,Chase Edmonds,EdmoCh00,FB,Alec Ingold,IngoAl01,WR,Jaylen Waddle,WaddJa00,WR,Tyreek Hill,HillTy00,TE,Durham Smythe,SmytDu00,OL,Connor Williams,WillCo00,OL,Liam Eichenberg,EichLi00,OL,Robert Hunt,HuntRo01,T,Austin Jackson,JackAu00,T,Terron Armstead,ArmsTe00,DT,Zach Sieler,SielZa00,DT,Raekwon Davis,DaviRa03,DT,Christian Wilkins,WilkCh00,LB,Melvin Ingram,IngrMe00,LB,Jaelan Phillips,PhilJa02,LB,Elandon Roberts,RobeEl00,LB,Jerome Baker,BakeJe00,CB,Nik Needham,NeedNi00,CB,Xavien Howard,HowaXa00,S,Brandon Jones,JoneBr06,S,Jevon Holland,HollJe02,QB,Mac Jones,JoneMa05,RB,Damien Harris,HarrDa06,WR,DeVante Parker,ParkDe01,WR,Jakobi Meyers,MeyeJa01,TE,Hunter Henry,HenrHu00,TE,Jonnu Smith,SmitJo01,OL,Trent Brown,BrowTr02,OL,Isaiah Wynn,WynnIs00,OL,Cole Strange,StraCo01,OL,Michael Onwenu,OnweMi00,C,David Andrews,AndrDa00,DL,Deatrich Wise Jr.,WiseDe00,DT,Davon Godchaux,GodcDa00,DT,Lawrence Guy,GuyxLa00,LB,Ja'Whaun Bentley,BentJa00,LB,Raekwon McMillan,McMiRa02,LB,Matt Judon,JudoMa00,CB,Jalen Mills,MillJa02,DB,Adrian Phillips,PhilAd00,DB,Devin McCourty,McCoDe99,DB,Jonathan Jones,JoneJo03,DB,Kyle Dugger,DuggKy00,Referee,John Hussey,Umpire,Alan Eck,Down Judge,Robin DeLorenzo,Line Judge,Carl Johnson,Back Judge,Brad Freeman,Side Judge,Allen Baynes,Field Judge,Jabir Walker
